key,ticker,company,year,sector,digital,digital_msu,all_body_mentions_company,all_title_mentions_company,log_assets,roa,debt_to_assets,revenue_growth,cash_to_assets,capex_to_assets,total_assets,revenue,capex,debt
LKOH_2021,LKOH,ЛУКОЙЛ,2021,Oil & Gas,0.0037603346946907,0.0051050901484211,5,0,29.5574571551,0.112658412236,0.110415149308,0.6725,0.098689002185,0.0630735615441,6865000000000,9431000000000,433000000000,758000000000
LKOH_2022,LKOH,ЛУКОЙЛ,2022,Oil & Gas,0.0039096784488949,0.0054256762147929,11,4,28.4569494077,0.345928196147,0.284413309982,-0.695260311738,0.137872154116,0.000402802101576,2284000000000,2874000000000,920000000,649600000000
LKOH_2023,LKOH,ЛУКОЙЛ,2023,Oil & Gas,0.0036906854130052,0.0051468742154155,48,12,29.7827833192,0.134302325581,0.0460465116279,1.75852470424,0.137209302326,0.0837209302326,8600000000000,7928000000000,720000000000,396000000000
LKOH_2024,LKOH,ЛУКОЙЛ,2024,Oil & Gas,0.0036780159730979,0.0049390500210172,20,4,29.8592058863,0.0853711084779,0.0409350425509,-0.442356205853,0.164386512981,0.0840245610255,9283000000000,4421000000000,780000000000,380000000000
,,,,,,,,,,,,,,,,,,
LSNG_2021,LSNG,Россети Ленэнерго,2021,Energy,0.00601397241628356,0.00318059973055181,0,0,26.1828513511,0.0659574468085,0.139574468085,1130.06751035,0.0343404255319,0.144680851064,235000000000,93500000000,34000000000,32799999999.999996
LSNG_2022,LSNG,Россети Ленэнерго,2022,Energy,0.005641565897154,0.0063438988640527,0,0,26.2649214621,0.078008624069,0.115640925127,0.0181818181818,0.0588004704038,0.113680909447,255100000000,95200000000,29000000000,29500000000
LSNG_2023,LSNG,Россети Ленэнерго,2023,Energy,0.0059420916162489,0.0068218298555377,9,2,26.3138796135,0.0742814483016,0.0996640537514,0.142857142857,0.0877192982456,0.138857782755,267899999999.99997,108800000000,37200000000,26700000000
LSNG_2024,LSNG,Россети Ленэнерго,2024,Energy,0.005689136968656,0.0064763131529984,8,0,26.424378083,0.0708556149733,0.0942513368984,0.127757352941,0.126671122995,0.145053475936,299200000000,122700000000,43400000000,28200000000
LSRG_2020,LSRG,Группа ЛСР,2020,Industrials,0.00212393397970103,0.000956580952689776,3,0,12.5510974898269,0.0439471683770429,0.675189886864609,,,,,,,
LSRG_2021,LSRG,Группа ЛСР,2021,Industrials,0.00159559745355672,0.000830361940116251,1,0,26.5780511851,0.0467182573803,0.485239323588,0.105,0.288048151333,0.0171682430496,348900000000,130500000000,5990000000,169300000000
LSRG_2022,LSRG,Группа ЛСР,2022,Industrials,0.0015811707905853,0.0025829812914906,0,0,26.7544317509,0.0321960595867,0.516818837098,0.0704980842912,0.244113407016,0.0135271504085,416200000000,139700000000,5630000000,215100000000
LSRG_2023,LSRG,Группа ЛСР,2023,Industrials,0.0018234913252025,0.0028541603350995,25,1,26.8878430018,0.0597140454163,0.471194280908,0.690765926986,0.362699747687,0.0241799831791,475600000000,236200000000,11500000000,224100000000
LSRG_2024,LSRG,Группа ЛСР,2024,Industrials,0.0018394124780292,0.0029566852424618,43,0,27.030817681,0.0521232002916,0.468379806816,0.0127011007621,0.33570256971,0.0329870603244,548700000000.00006,239200000000,18100000000,257000000000
MAGN_2020,MAGN,ММК,2020,Metals & Mining,0.00520345937496786,0.00295136925022881,7,1,27.0397082412,0.079,1.29515895954e-9,-0.0592804578904,0.141257225434,0.0910404624277,553600000000,460200000000,50400000000,717
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
MAGN_2023,MAGN,ММК,2023,Metals & Mining,0.0056700252839729,0.0069436582512547,25,5,27.527880357,0.131042128603,0.0779379157428,0.0908831094598,0.179379157428,0.105210643016,902000000000,763400000000,94900000000,70300000000
MAGN_2024,MAGN,ММК,2024,Metals & Mining,0.0055318208603417,0.006673541543901,8,2,27.5402207516,0.0874945247481,0.0517958826106,0.00668063924548,0.134472185721,0.110819097678,913200000000,768500000000,101200000000,47300000000
